Vardas         Pavarde        Galutinis (Vid.)
Vardas1010     Pavarde1010         5.00

Vardas10102    Pavarde10102        7.60

Vardas10109    Pavarde10109        7.60

Vardas10110    Pavarde10110        7.60

Vardas10111    Pavarde10111        7.60

Vardas10113    Pavarde10113        5.40

Vardas10119    Pavarde10119        7.20

Vardas1012     Pavarde1012         6.00

Vardas10121    Pavarde10121        8.00

Vardas10122    Pavarde10122        5.60

Vardas10123    Pavarde10123        6.20

Vardas10124    Pavarde10124        6.80

Vardas10126    Pavarde10126        6.60

Vardas10127    Pavarde10127        7.20

Vardas10128    Pavarde10128        5.00

Vardas10129    Pavarde10129        8.40

Vardas10130    Pavarde10130        6.60

Vardas10131    Pavarde10131        5.20

Vardas10133    Pavarde10133        5.20

Vardas10135    Pavarde10135        7.20

Vardas10137    Pavarde10137        5.20

Vardas10138    Pavarde10138        7.20

Vardas10139    Pavarde10139        5.60

Vardas10143    Pavarde10143        8.00

Vardas10144    Pavarde10144        8.80

Vardas10145    Pavarde10145        6.20

Vardas10146    Pavarde10146        5.00

Vardas1015     Pavarde1015         7.20

Vardas10150    Pavarde10150        5.80

Vardas10151    Pavarde10151        7.60

Vardas10152    Pavarde10152        6.20

Vardas10153    Pavarde10153        6.00

Vardas10154    Pavarde10154        7.20

Vardas10155    Pavarde10155        5.60

Vardas10157    Pavarde10157        5.20

Vardas10158    Pavarde10158        7.40

Vardas10161    Pavarde10161        8.60

Vardas10163    Pavarde10163        5.00

Vardas10165    Pavarde10165        8.00

Vardas10167    Pavarde10167        7.40

Vardas10169    Pavarde10169        7.40

Vardas1017     Pavarde1017         6.60

Vardas10170    Pavarde10170        7.80

Vardas10172    Pavarde10172        7.40

Vardas10173    Pavarde10173        6.40

Vardas10175    Pavarde10175        7.80

Vardas10176    Pavarde10176        7.60

Vardas10177    Pavarde10177        7.20

Vardas10178    Pavarde10178        6.80

Vardas10179    Pavarde10179        6.20

Vardas10180    Pavarde10180        7.40

Vardas10181    Pavarde10181        8.40

Vardas10182    Pavarde10182        7.60

Vardas10184    Pavarde10184        8.40

Vardas10186    Pavarde10186        6.40

Vardas10187    Pavarde10187        6.80

Vardas10188    Pavarde10188        8.40

Vardas10189    Pavarde10189        7.40

Vardas1019     Pavarde1019         5.20

Vardas10190    Pavarde10190        6.60

Vardas10191    Pavarde10191        5.40

Vardas10194    Pavarde10194        5.80

Vardas10195    Pavarde10195        5.80

Vardas10196    Pavarde10196        7.20

Vardas102      Pavarde102          7.20

Vardas10200    Pavarde10200        5.20

Vardas10202    Pavarde10202        5.60

Vardas10204    Pavarde10204        6.00

Vardas10205    Pavarde10205        8.80

Vardas10206    Pavarde10206        8.00

Vardas10207    Pavarde10207        6.00

Vardas10208    Pavarde10208        5.20

Vardas10209    Pavarde10209        7.20

Vardas1021     Pavarde1021         5.20

Vardas10211    Pavarde10211        5.20

Vardas10213    Pavarde10213        5.00

Vardas10214    Pavarde10214        5.00

Vardas10215    Pavarde10215        8.00

Vardas10216    Pavarde10216        7.40

Vardas10217    Pavarde10217        6.80

Vardas10218    Pavarde10218        7.00

Vardas10219    Pavarde10219        6.00

Vardas1022     Pavarde1022         6.80

Vardas10221    Pavarde10221        6.00

Vardas10224    Pavarde10224        8.00

Vardas10225    Pavarde10225        6.40

Vardas10229    Pavarde10229        8.40

Vardas10231    Pavarde10231        6.40

Vardas10232    Pavarde10232        5.00

Vardas10234    Pavarde10234        5.40

Vardas10235    Pavarde10235        7.80

Vardas10236    Pavarde10236        6.80

Vardas10239    Pavarde10239        6.20

Vardas10242    Pavarde10242        6.40

Vardas10244    Pavarde10244        6.40

Vardas10245    Pavarde10245        8.40

Vardas10246    Pavarde10246        6.20

Vardas10247    Pavarde10247        8.00

Vardas1025     Pavarde1025         6.80

Vardas10250    Pavarde10250        8.40

Vardas10251    Pavarde10251        5.00

Vardas10252    Pavarde10252        8.40

Vardas10255    Pavarde10255        7.60

Vardas10256    Pavarde10256        5.00

Vardas10257    Pavarde10257        8.40

Vardas10262    Pavarde10262        5.40

Vardas10263    Pavarde10263        7.20

Vardas10264    Pavarde10264        5.40

Vardas10265    Pavarde10265        5.60

Vardas10267    Pavarde10267        7.00

Vardas1027     Pavarde1027         7.40

Vardas10270    Pavarde10270        5.20

Vardas10271    Pavarde10271        7.80

Vardas10273    Pavarde10273        7.20

Vardas10274    Pavarde10274        5.20

Vardas10276    Pavarde10276        8.40

Vardas10277    Pavarde10277        8.00

Vardas10278    Pavarde10278        5.40

Vardas1028     Pavarde1028         6.80

Vardas10281    Pavarde10281        7.20

Vardas10283    Pavarde10283        6.20

Vardas10284    Pavarde10284        5.80

Vardas10285    Pavarde10285        6.60

Vardas10286    Pavarde10286        7.00

Vardas10289    Pavarde10289        5.40

Vardas1029     Pavarde1029         5.80

Vardas10293    Pavarde10293        7.00

Vardas10296    Pavarde10296        7.60

Vardas10297    Pavarde10297        8.80

Vardas10300    Pavarde10300        7.40

Vardas10302    Pavarde10302        8.40

Vardas10306    Pavarde10306        6.00

Vardas10307    Pavarde10307        6.00

Vardas10309    Pavarde10309        6.00

Vardas10310    Pavarde10310        7.00

Vardas10314    Pavarde10314        6.80

Vardas10315    Pavarde10315        5.80

Vardas10316    Pavarde10316        5.00

Vardas10317    Pavarde10317        7.40

Vardas10318    Pavarde10318        5.60

Vardas10319    Pavarde10319        5.00

Vardas1032     Pavarde1032         5.60

Vardas10321    Pavarde10321        7.40

Vardas10325    Pavarde10325        8.40

Vardas10328    Pavarde10328        5.00

Vardas10329    Pavarde10329        7.40

Vardas1033     Pavarde1033         7.00

Vardas10331    Pavarde10331        6.40

Vardas10334    Pavarde10334        6.00

Vardas10337    Pavarde10337        7.20

Vardas10339    Pavarde10339        7.40

Vardas1034     Pavarde1034         7.80

Vardas10340    Pavarde10340        6.20

Vardas10341    Pavarde10341        5.60

Vardas10344    Pavarde10344        6.40

Vardas10345    Pavarde10345        6.80

Vardas10346    Pavarde10346        8.80

Vardas10347    Pavarde10347        7.40

Vardas1035     Pavarde1035         8.40

Vardas10350    Pavarde10350        7.60

Vardas10351    Pavarde10351        6.40

Vardas10352    Pavarde10352        5.20

Vardas10354    Pavarde10354        7.80

Vardas10356    Pavarde10356        5.40

Vardas10357    Pavarde10357        8.00

Vardas10359    Pavarde10359        7.60

Vardas1036     Pavarde1036         6.60

Vardas10361    Pavarde10361        6.00

Vardas10362    Pavarde10362        6.00

Vardas10363    Pavarde10363        5.80

Vardas10365    Pavarde10365        7.00

Vardas10368    Pavarde10368        6.40

Vardas10371    Pavarde10371        5.40

Vardas10372    Pavarde10372        8.20

Vardas10376    Pavarde10376        7.40

Vardas10377    Pavarde10377        7.20

Vardas10378    Pavarde10378        5.00

Vardas10379    Pavarde10379        7.00

Vardas10380    Pavarde10380        8.00

Vardas10382    Pavarde10382        5.20

Vardas10383    Pavarde10383        5.80

Vardas10384    Pavarde10384        8.20

Vardas10387    Pavarde10387        5.40

Vardas10389    Pavarde10389        5.80

Vardas1039     Pavarde1039         6.20

Vardas10390    Pavarde10390        6.80

Vardas10393    Pavarde10393        6.80

Vardas10396    Pavarde10396        6.40

Vardas10397    Pavarde10397        7.00

Vardas10398    Pavarde10398        7.60

Vardas10399    Pavarde10399        7.40

Vardas1040     Pavarde1040         6.80

Vardas10400    Pavarde10400        6.60

Vardas10401    Pavarde10401        6.40

Vardas10402    Pavarde10402        6.20

Vardas10405    Pavarde10405        8.20

Vardas10407    Pavarde10407        8.60

Vardas10408    Pavarde10408        8.00

Vardas10411    Pavarde10411        8.20

Vardas10412    Pavarde10412        8.00

Vardas10414    Pavarde10414        7.20

Vardas10416    Pavarde10416        5.80

Vardas10417    Pavarde10417        7.00

Vardas10420    Pavarde10420        6.80

Vardas10422    Pavarde10422        7.40

Vardas10423    Pavarde10423        6.60

Vardas10424    Pavarde10424        5.60

Vardas10425    Pavarde10425        8.40

Vardas10426    Pavarde10426        7.80

Vardas10428    Pavarde10428        6.80

Vardas10429    Pavarde10429        5.20

Vardas10430    Pavarde10430        6.40

Vardas10436    Pavarde10436        5.40

Vardas10437    Pavarde10437        8.40

Vardas10438    Pavarde10438        6.40

Vardas10439    Pavarde10439        5.20

Vardas1044     Pavarde1044         7.40

Vardas10440    Pavarde10440        8.40

Vardas10443    Pavarde10443        5.60

Vardas10444    Pavarde10444        6.80

Vardas10447    Pavarde10447        7.40

Vardas10448    Pavarde10448        6.60

Vardas10449    Pavarde10449        7.80

Vardas10450    Pavarde10450        7.00

Vardas10451    Pavarde10451        6.40

Vardas10452    Pavarde10452        6.20

Vardas10453    Pavarde10453        6.60

Vardas10455    Pavarde10455        6.80

Vardas10457    Pavarde10457        7.40

Vardas10459    Pavarde10459        8.20

Vardas1046     Pavarde1046         6.00

Vardas10465    Pavarde10465        5.00

Vardas10467    Pavarde10467        6.80

Vardas10469    Pavarde10469        5.20

Vardas10470    Pavarde10470        5.60

Vardas10472    Pavarde10472        7.20

Vardas10475    Pavarde10475        8.00

Vardas10476    Pavarde10476        6.40

Vardas10478    Pavarde10478        7.80

Vardas1048     Pavarde1048         8.80

Vardas10481    Pavarde10481        6.60

Vardas10484    Pavarde10484        6.40

Vardas10485    Pavarde10485        7.40

Vardas10487    Pavarde10487        5.00

Vardas10488    Pavarde10488        6.40

Vardas10490    Pavarde10490        6.80

Vardas10491    Pavarde10491        6.80

Vardas10492    Pavarde10492        6.20

Vardas10495    Pavarde10495        6.20

Vardas10496    Pavarde10496        7.40

Vardas10502    Pavarde10502        5.20

Vardas10507    Pavarde10507        6.80

Vardas10508    Pavarde10508        5.40

Vardas10509    Pavarde10509        7.00

Vardas10510    Pavarde10510        5.80

Vardas10511    Pavarde10511        5.00

Vardas10513    Pavarde10513        9.20

Vardas10515    Pavarde10515        8.00

Vardas10517    Pavarde10517        7.60

Vardas1052     Pavarde1052         7.00

Vardas10521    Pavarde10521        5.80

Vardas10528    Pavarde10528        6.00

Vardas10529    Pavarde10529        7.60

Vardas10531    Pavarde10531        7.40

Vardas10533    Pavarde10533        8.00

Vardas10534    Pavarde10534        5.80

Vardas10536    Pavarde10536        6.60

Vardas10538    Pavarde10538        7.20

Vardas1054     Pavarde1054         6.80

Vardas10540    Pavarde10540        6.20

Vardas10541    Pavarde10541        7.00

Vardas10543    Pavarde10543        7.00

Vardas10544    Pavarde10544        6.60

Vardas10546    Pavarde10546        6.80

Vardas10549    Pavarde10549        8.00

Vardas1055     Pavarde1055         8.00

Vardas10550    Pavarde10550        6.00

Vardas10551    Pavarde10551        7.80

Vardas10553    Pavarde10553        6.80

Vardas10554    Pavarde10554        7.60

Vardas10555    Pavarde10555        5.40

Vardas10557    Pavarde10557        5.40

Vardas10558    Pavarde10558        6.40

Vardas10560    Pavarde10560        5.40

Vardas10561    Pavarde10561        6.80

Vardas10562    Pavarde10562        6.40

Vardas10565    Pavarde10565        5.60

Vardas10566    Pavarde10566        7.60

Vardas10567    Pavarde10567        7.40

Vardas1057     Pavarde1057         7.00

Vardas10570    Pavarde10570        6.00

Vardas10571    Pavarde10571        8.00

Vardas10573    Pavarde10573        7.80

Vardas10574    Pavarde10574        8.20

Vardas10575    Pavarde10575        5.00

Vardas10577    Pavarde10577        6.80

Vardas10578    Pavarde10578        5.60

Vardas1058     Pavarde1058         6.40

Vardas10581    Pavarde10581        6.80

Vardas10582    Pavarde10582        5.40

Vardas10583    Pavarde10583        6.20

Vardas10584    Pavarde10584        5.20

Vardas10585    Pavarde10585        7.60

Vardas10586    Pavarde10586        5.20

Vardas10588    Pavarde10588        8.40

Vardas10589    Pavarde10589        6.20

Vardas10591    Pavarde10591        7.20

Vardas10593    Pavarde10593        6.00

Vardas10594    Pavarde10594        7.00

Vardas10595    Pavarde10595        5.80

Vardas10597    Pavarde10597        6.40

Vardas10598    Pavarde10598        7.00

Vardas10599    Pavarde10599        6.80

Vardas106      Pavarde106          6.80

Vardas1060     Pavarde1060         8.40

Vardas10602    Pavarde10602        5.80

Vardas10605    Pavarde10605        6.60

Vardas10606    Pavarde10606        7.80

Vardas10607    Pavarde10607        5.80

Vardas10609    Pavarde10609        7.80

Vardas10611    Pavarde10611        6.00

Vardas10612    Pavarde10612        6.40

Vardas10613    Pavarde10613        6.20

Vardas10614    Pavarde10614        7.80

Vardas10615    Pavarde10615        5.40

Vardas10616    Pavarde10616        8.20

Vardas10617    Pavarde10617        6.40

Vardas10619    Pavarde10619        5.00

Vardas1062     Pavarde1062         6.20

Vardas10621    Pavarde10621        5.20

Vardas10623    Pavarde10623        8.20

Vardas10625    Pavarde10625        9.20

Vardas10626    Pavarde10626        6.00

Vardas10628    Pavarde10628        5.60

Vardas10629    Pavarde10629        8.00

Vardas1063     Pavarde1063         7.80

Vardas10630    Pavarde10630        5.80

Vardas10631    Pavarde10631        7.60

Vardas10632    Pavarde10632        5.40

Vardas10633    Pavarde10633        6.80

Vardas10634    Pavarde10634        8.20

Vardas10636    Pavarde10636        7.60

Vardas10638    Pavarde10638        6.80

Vardas1064     Pavarde1064         5.80

Vardas10641    Pavarde10641        6.80

Vardas10643    Pavarde10643        5.40

Vardas10644    Pavarde10644        6.20

Vardas10645    Pavarde10645        7.80

Vardas10647    Pavarde10647        5.00

Vardas10648    Pavarde10648        6.80

Vardas1065     Pavarde1065         6.60

Vardas10650    Pavarde10650        5.40

Vardas10652    Pavarde10652        6.80

Vardas10654    Pavarde10654        6.80

Vardas10655    Pavarde10655        8.40

Vardas10656    Pavarde10656        6.40

Vardas10657    Pavarde10657        5.40

Vardas10658    Pavarde10658        7.40

Vardas1066     Pavarde1066         6.00

Vardas10660    Pavarde10660        5.40

Vardas10661    Pavarde10661        6.40

Vardas10665    Pavarde10665        7.00

Vardas10668    Pavarde10668        7.40

Vardas10671    Pavarde10671        5.20

Vardas10673    Pavarde10673        6.40

Vardas10674    Pavarde10674        5.60

Vardas10675    Pavarde10675        6.20

Vardas10676    Pavarde10676        6.20

Vardas10679    Pavarde10679        7.40

Vardas1068     Pavarde1068         7.00

Vardas10681    Pavarde10681        6.40

Vardas10683    Pavarde10683        6.20

Vardas10687    Pavarde10687        7.00

Vardas1069     Pavarde1069         6.60

Vardas10690    Pavarde10690        7.60

Vardas10691    Pavarde10691        7.20

Vardas10693    Pavarde10693        5.40

Vardas10699    Pavarde10699        6.80

Vardas107      Pavarde107          6.60

Vardas1070     Pavarde1070         7.80

Vardas10701    Pavarde10701        7.80

Vardas10702    Pavarde10702        7.40

Vardas10703    Pavarde10703        7.80

Vardas10705    Pavarde10705        8.00

Vardas10706    Pavarde10706        8.00

Vardas10707    Pavarde10707        5.80

Vardas10710    Pavarde10710        7.40

Vardas10711    Pavarde10711        8.00

Vardas10712    Pavarde10712        6.20

Vardas10714    Pavarde10714        5.60

Vardas10716    Pavarde10716        7.20

Vardas1072     Pavarde1072         6.80

Vardas10720    Pavarde10720        6.40

Vardas10722    Pavarde10722        7.80

Vardas10723    Pavarde10723        5.40

Vardas10724    Pavarde10724        5.80

Vardas10725    Pavarde10725        6.00

Vardas10729    Pavarde10729        5.20

Vardas1073     Pavarde1073         5.20

Vardas10732    Pavarde10732        8.00

Vardas10733    Pavarde10733        5.60

Vardas10735    Pavarde10735        8.00

Vardas10736    Pavarde10736        6.60

Vardas10738    Pavarde10738        5.60

Vardas1074     Pavarde1074         6.80

Vardas10740    Pavarde10740        7.60

Vardas10741    Pavarde10741        7.40

Vardas10742    Pavarde10742        8.60

Vardas10745    Pavarde10745        8.80

Vardas10747    Pavarde10747        6.00

Vardas10748    Pavarde10748        6.20

Vardas10749    Pavarde10749        8.40

Vardas1075     Pavarde1075         5.40

Vardas10752    Pavarde10752        7.00

Vardas10754    Pavarde10754        9.20

Vardas10756    Pavarde10756        5.80

Vardas10757    Pavarde10757        8.40

Vardas1076     Pavarde1076         6.20

Vardas10760    Pavarde10760        8.40

Vardas10763    Pavarde10763        7.40

Vardas10765    Pavarde10765        5.20

Vardas10767    Pavarde10767        7.60

Vardas10769    Pavarde10769        8.00

Vardas1077     Pavarde1077         8.00

Vardas10772    Pavarde10772        8.40

Vardas10773    Pavarde10773        8.80

Vardas10776    Pavarde10776        5.20

Vardas10777    Pavarde10777        5.20

Vardas10781    Pavarde10781        8.00

Vardas10782    Pavarde10782        7.00

Vardas10783    Pavarde10783        8.40

Vardas10785    Pavarde10785        6.80

Vardas10786    Pavarde10786        5.60

Vardas10788    Pavarde10788        7.40

Vardas1079     Pavarde1079         5.40

Vardas10790    Pavarde10790        7.40

Vardas10792    Pavarde10792        8.40

Vardas10793    Pavarde10793        5.60

Vardas10794    Pavarde10794        8.00

Vardas10796    Pavarde10796        6.00

Vardas10797    Pavarde10797        6.00

Vardas10799    Pavarde10799        5.80

Vardas108      Pavarde108          5.80

Vardas10801    Pavarde10801        7.40

Vardas10803    Pavarde10803        7.20

Vardas10806    Pavarde10806        5.60

Vardas10807    Pavarde10807        5.00

Vardas10809    Pavarde10809        7.20

Vardas1081     Pavarde1081         8.20

Vardas10810    Pavarde10810        8.00

Vardas10813    Pavarde10813        7.40

Vardas10816    Pavarde10816        5.80

Vardas10818    Pavarde10818        6.20

Vardas10819    Pavarde10819        7.00

Vardas10820    Pavarde10820        8.00

Vardas10822    Pavarde10822        7.80

Vardas10825    Pavarde10825        6.20

Vardas10827    Pavarde10827        6.80

Vardas10828    Pavarde10828        6.60

Vardas10829    Pavarde10829        6.80

Vardas10830    Pavarde10830        6.00

Vardas10831    Pavarde10831        5.80

Vardas10833    Pavarde10833        6.00

Vardas10834    Pavarde10834        7.40

Vardas10835    Pavarde10835        7.20

Vardas1084     Pavarde1084         6.80

Vardas10841    Pavarde10841        7.00

Vardas10844    Pavarde10844        5.20

Vardas10845    Pavarde10845        6.40

Vardas10846    Pavarde10846        6.00

Vardas1085     Pavarde1085         6.00

Vardas10851    Pavarde10851        5.60

Vardas10852    Pavarde10852        8.40

Vardas10854    Pavarde10854        7.60

Vardas10855    Pavarde10855        6.80

Vardas10856    Pavarde10856        7.20

Vardas10857    Pavarde10857        7.80

Vardas1086     Pavarde1086         5.00

Vardas10861    Pavarde10861        5.60

Vardas10862    Pavarde10862        6.00

Vardas10863    Pavarde10863        6.80

Vardas10865    Pavarde10865        8.00

Vardas10866    Pavarde10866        7.20

Vardas10867    Pavarde10867        6.40

Vardas10868    Pavarde10868        7.20

Vardas10869    Pavarde10869        5.00

Vardas10870    Pavarde10870        6.60

Vardas10871    Pavarde10871        6.60

Vardas10873    Pavarde10873        5.20

Vardas10875    Pavarde10875        6.80

Vardas10877    Pavarde10877        5.20

Vardas10879    Pavarde10879        7.40

Vardas1088     Pavarde1088         7.20

Vardas10881    Pavarde10881        8.20

Vardas10883    Pavarde10883        5.60

Vardas10886    Pavarde10886        8.40

Vardas10887    Pavarde10887        5.60

Vardas10889    Pavarde10889        6.20

Vardas1089     Pavarde1089         6.20

Vardas10890    Pavarde10890        7.80

Vardas10892    Pavarde10892        5.80

Vardas10894    Pavarde10894        7.40

Vardas10896    Pavarde10896        7.20

Vardas10897    Pavarde10897        7.60

Vardas10900    Pavarde10900        8.40

Vardas10902    Pavarde10902        5.40

Vardas10906    Pavarde10906        5.00

Vardas10907    Pavarde10907        6.60

Vardas10908    Pavarde10908        5.80

Vardas10909    Pavarde10909        8.00

Vardas1091     Pavarde1091         8.60

Vardas10910    Pavarde10910        6.60

Vardas10911    Pavarde10911        8.40

Vardas10912    Pavarde10912        9.20

Vardas10913    Pavarde10913        5.80

Vardas10914    Pavarde10914        7.60

Vardas10916    Pavarde10916        6.40

Vardas10918    Pavarde10918        5.00

Vardas10919    Pavarde10919        8.00

Vardas1092     Pavarde1092         7.40

Vardas10922    Pavarde10922        5.80

Vardas10923    Pavarde10923        6.00

Vardas10925    Pavarde10925        6.20

Vardas10926    Pavarde10926        5.80

Vardas10927    Pavarde10927        8.00

Vardas10928    Pavarde10928        6.00

Vardas10929    Pavarde10929        6.40

Vardas10930    Pavarde10930        5.60

Vardas10933    Pavarde10933        6.40

Vardas10935    Pavarde10935        7.60

Vardas10937    Pavarde10937        7.40

Vardas10939    Pavarde10939        5.80

Vardas1094     Pavarde1094         7.00

Vardas10942    Pavarde10942        6.80

Vardas10944    Pavarde10944        8.80

Vardas10945    Pavarde10945        5.60

Vardas10947    Pavarde10947        5.00

Vardas10950    Pavarde10950        5.00

Vardas10951    Pavarde10951        7.20

Vardas10953    Pavarde10953        6.20

Vardas10958    Pavarde10958        7.40

Vardas10959    Pavarde10959        6.00

Vardas1096     Pavarde1096         7.00

Vardas10960    Pavarde10960        8.40

Vardas10961    Pavarde10961        7.40

Vardas10963    Pavarde10963        6.80

Vardas10964    Pavarde10964        5.00

Vardas10965    Pavarde10965        7.60

Vardas10966    Pavarde10966        8.40

Vardas10969    Pavarde10969        5.00

Vardas1097     Pavarde1097         7.40

Vardas10971    Pavarde10971        6.20

Vardas10973    Pavarde10973        7.40

Vardas10975    Pavarde10975        5.00

Vardas10979    Pavarde10979        8.00

Vardas1098     Pavarde1098         5.40

Vardas10981    Pavarde10981        5.80

Vardas10984    Pavarde10984        5.80

Vardas10986    Pavarde10986        6.20

Vardas1099     Pavarde1099         7.00

Vardas10992    Pavarde10992        6.00

Vardas10994    Pavarde10994        5.80

Vardas10999    Pavarde10999        5.00

Vardas11       Pavarde11           6.80

Vardas1100     Pavarde1100         8.00

Vardas11000    Pavarde11000        6.60

Vardas11002    Pavarde11002        8.40

Vardas11003    Pavarde11003        7.40

Vardas11004    Pavarde11004        5.40

Vardas11005    Pavarde11005        6.60

Vardas11006    Pavarde11006        5.00

Vardas11008    Pavarde11008        5.80

Vardas1101     Pavarde1101         6.80

Vardas11010    Pavarde11010        6.60

Vardas11011    Pavarde11011        6.80

Vardas11012    Pavarde11012        6.00

Vardas11013    Pavarde11013        8.00

Vardas11016    Pavarde11016        6.60

Vardas11017    Pavarde11017        5.20

Vardas11018    Pavarde11018        6.00

Vardas11019    Pavarde11019        7.20

Vardas1102     Pavarde1102         5.40

Vardas11020    Pavarde11020        5.80

Vardas11022    Pavarde11022        5.60

Vardas11024    Pavarde11024        6.20

Vardas11026    Pavarde11026        8.00

Vardas11029    Pavarde11029        7.60

Vardas1103     Pavarde1103         5.60

Vardas11030    Pavarde11030        7.60

Vardas11032    Pavarde11032        6.20

Vardas11033    Pavarde11033        6.40

Vardas11035    Pavarde11035        5.40

Vardas11036    Pavarde11036        6.80

Vardas11037    Pavarde11037        7.60

Vardas11038    Pavarde11038        6.20

Vardas11039    Pavarde11039        8.20

Vardas1104     Pavarde1104         6.80

Vardas11040    Pavarde11040        6.80

Vardas11041    Pavarde11041        8.60

Vardas11042    Pavarde11042        5.20

Vardas11045    Pavarde11045        5.20

Vardas11046    Pavarde11046        6.40

Vardas11048    Pavarde11048        6.40

Vardas11049    Pavarde11049        6.60

Vardas11053    Pavarde11053        7.40

Vardas11054    Pavarde11054        8.40

Vardas11055    Pavarde11055        6.60

Vardas11056    Pavarde11056        8.00

Vardas11057    Pavarde11057        5.40

Vardas11058    Pavarde11058        6.20

Vardas1106     Pavarde1106         5.40

Vardas11060    Pavarde11060        7.60

Vardas11061    Pavarde11061        8.00

Vardas11062    Pavarde11062        7.20

Vardas11063    Pavarde11063        8.20

Vardas11064    Pavarde11064        8.80

Vardas11068    Pavarde11068        5.20

Vardas11069    Pavarde11069        8.80

Vardas1107     Pavarde1107         7.20

Vardas11074    Pavarde11074        7.60

Vardas11075    Pavarde11075        5.20

Vardas11077    Pavarde11077        7.20

Vardas11078    Pavarde11078        6.80

Vardas1108     Pavarde1108         6.80

Vardas11080    Pavarde11080        6.00

Vardas11081    Pavarde11081        5.40

Vardas11084    Pavarde11084        7.60

Vardas11085    Pavarde11085        5.60

Vardas11087    Pavarde11087        6.80

Vardas11088    Pavarde11088        5.00

Vardas11090    Pavarde11090        5.80

